student_id,date,class_id,attendance_status,day_of_week,is_weekend,month,week,is_present,day_name,week_type
STU0430,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0547,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0147,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0351,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU1094,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0502,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU0335,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU0947,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0778,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU0553,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU1141,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0450,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0665,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0115,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU0470,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0066,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU0647,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0822,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0549,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0136,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0433,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU1162,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0645,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU0436,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU1023,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0811,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0940,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0293,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0286,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0506,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU1150,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU1104,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0539,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU1198,2024-03-01,ME203,Absent,4,0,3,9,0,Friday,Weekday
STU0878,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU1196,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0818,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0742,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0450,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0284,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU1044,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU1011,2024-03-01,ME203,Absent,4,0,3,9,0,Friday,Weekday
STU0187,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0097,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0225,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0314,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0328,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0865,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0131,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0789,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0782,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0959,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU1084,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0515,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU1134,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0024,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0235,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU1100,2024-03-01,ME203,Absent,4,0,3,9,0,Friday,Weekday
STU0547,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0697,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0229,2024-03-01,ME203,Present,4,0,3,9,1,Friday,Weekday
STU0891,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0324,2024-03-01,ME201,Absent,4,0,3,9,0,Friday,Weekday
STU0930,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0007,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0540,2024-03-01,ME201,Absent,4,0,3,9,0,Friday,Weekday
STU1026,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0366,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU1040,2024-03-01,ME201,Absent,4,0,3,9,0,Friday,Weekday
STU0218,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0612,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0408,2024-03-01,ME201,Absent,4,0,3,9,0,Friday,Weekday
STU0314,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0766,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0331,2024-03-01,ME201,Absent,4,0,3,9,0,Friday,Weekday
STU1105,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU1087,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0002,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0664,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU1001,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0040,2024-03-01,ME201,Absent,4,0,3,9,0,Friday,Weekday
STU0230,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0744,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0630,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0491,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0119,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0494,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU1162,2024-03-01,ME201,Absent,4,0,3,9,0,Friday,Weekday
STU0162,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0176,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0996,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0142,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU1091,2024-03-01,ME201,Absent,4,0,3,9,0,Friday,Weekday
STU0258,2024-03-01,ME201,Absent,4,0,3,9,0,Friday,Weekday
STU0263,2024-03-01,ME201,Present,4,0,3,9,1,Friday,Weekday
STU0974,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU1126,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0339,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0543,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU1081,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0867,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0434,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU1105,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0412,2024-03-01,EE310,Absent,4,0,3,9,0,Friday,Weekday
STU0639,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0818,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0765,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0898,2024-03-01,EE310,Absent,4,0,3,9,0,Friday,Weekday
STU1060,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0925,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0248,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0508,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0461,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0132,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0693,2024-03-01,EE310,Absent,4,0,3,9,0,Friday,Weekday
STU0044,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU1135,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0472,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0452,2024-03-01,EE310,Absent,4,0,3,9,0,Friday,Weekday
STU0015,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0146,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0121,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0469,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0139,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0065,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0677,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU1053,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0488,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0571,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0995,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0439,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0271,2024-03-01,EE310,Absent,4,0,3,9,0,Friday,Weekday
STU1170,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU1181,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0969,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0498,2024-03-01,EE310,Absent,4,0,3,9,0,Friday,Weekday
STU0834,2024-03-01,EE310,Absent,4,0,3,9,0,Friday,Weekday
STU0390,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0194,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0199,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0883,2024-03-01,EE310,Present,4,0,3,9,1,Friday,Weekday
STU0868,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0842,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0957,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0111,2024-03-01,CS105,Absent,4,0,3,9,0,Friday,Weekday
STU0202,2024-03-01,CS105,Absent,4,0,3,9,0,Friday,Weekday
STU0125,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0825,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0695,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0224,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0510,2024-03-01,CS105,Absent,4,0,3,9,0,Friday,Weekday
STU0393,2024-03-01,CS105,Absent,4,0,3,9,0,Friday,Weekday
STU0390,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU1099,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0919,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0288,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0865,2024-03-01,CS105,Absent,4,0,3,9,0,Friday,Weekday
STU0376,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0571,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0948,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0512,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0155,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0908,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU1128,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0201,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0104,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU1108,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0031,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0192,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0485,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0341,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0833,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0995,2024-03-01,CS105,Absent,4,0,3,9,0,Friday,Weekday
STU0986,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0438,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0822,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0121,2024-03-01,CS105,Present,4,0,3,9,1,Friday,Weekday
STU0777,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0005,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0800,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU0544,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0932,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU0585,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0867,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU1139,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0997,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0318,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0389,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0608,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0446,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0120,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU1187,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU1111,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0125,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU0643,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU0118,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU0103,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU1197,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0977,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU1030,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU1088,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU0323,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU0117,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU1041,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0165,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0381,2024-03-01,ME209,Absent,4,0,3,9,0,Friday,Weekday
STU0141,2024-03-01,ME209,Present,4,0,3,9,1,Friday,Weekday
STU0140,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0482,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0827,2024-03-01,CS104,Absent,4,0,3,9,0,Friday,Weekday
STU0246,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1167,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0505,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1186,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0082,2024-03-01,CS104,Absent,4,0,3,9,0,Friday,Weekday
STU0168,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0859,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1196,2024-03-01,CS104,Absent,4,0,3,9,0,Friday,Weekday
STU1158,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1071,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0648,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0535,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0419,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0644,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0489,2024-03-01,CS104,Absent,4,0,3,9,0,Friday,Weekday
STU0544,2024-03-01,CS104,Absent,4,0,3,9,0,Friday,Weekday
STU0811,2024-03-01,CS104,Absent,4,0,3,9,0,Friday,Weekday
STU0269,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0615,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0937,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0149,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0020,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0939,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1154,2024-03-01,CS104,Absent,4,0,3,9,0,Friday,Weekday
STU0205,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0151,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1102,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0437,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1037,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0272,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0715,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0141,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0501,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0757,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0584,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0324,2024-03-01,CS104,Absent,4,0,3,9,0,Friday,Weekday
STU0898,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1113,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0620,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1084,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU0017,2024-03-01,CS104,Present,4,0,3,9,1,Friday,Weekday
STU1136,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0614,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0213,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0276,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0542,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0237,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0220,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU1134,2024-03-01,ME207,Absent,4,0,3,9,0,Friday,Weekday
STU0319,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0558,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0578,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0432,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0703,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0417,2024-03-01,ME207,Absent,4,0,3,9,0,Friday,Weekday
STU0541,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU1036,2024-03-01,ME207,Absent,4,0,3,9,0,Friday,Weekday
STU1001,2024-03-01,ME207,Absent,4,0,3,9,0,Friday,Weekday
STU0515,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0105,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0190,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0868,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0567,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0091,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0008,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0684,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0268,2024-03-01,ME207,Absent,4,0,3,9,0,Friday,Weekday
STU0537,2024-03-01,ME207,Absent,4,0,3,9,0,Friday,Weekday
STU0331,2024-03-01,ME207,Absent,4,0,3,9,0,Friday,Weekday
STU0905,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU1130,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0876,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU1149,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0020,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0230,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0155,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0306,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU1118,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0074,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0757,2024-03-01,ME207,Absent,4,0,3,9,0,Friday,Weekday
STU1193,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU1132,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0304,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0881,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0262,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0086,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0632,2024-03-01,ME207,Present,4,0,3,9,1,Friday,Weekday
STU0082,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0733,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0431,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0512,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0211,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0725,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU1147,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0833,2024-03-01,EE304,Absent,4,0,3,9,0,Friday,Weekday
STU0317,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0485,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0333,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0363,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0845,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0051,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0368,2024-03-01,EE304,Absent,4,0,3,9,0,Friday,Weekday
STU0681,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0844,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0509,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0547,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
STU0327,2024-03-01,EE304,Present,4,0,3,9,1,Friday,Weekday
