timestamp,location,number_of_users,bandwidth_usage
2024-03-01 07:06:00,Academic Zone,121.0,191.7
2024-03-01 07:05:00,Library,139.0,196.84
2024-03-01 07:38:00,Cafeteria,74.0,139.03
2024-03-01 07:10:00,Sports Complex,31.0,53.66
2024-03-01 07:00:00,Hostel Area,81.0,127.41
2024-03-01 07:24:00,Admin Zone,57.0,65.39
2024-03-01 08:07:00,Academic Zone,232.0,394.34
2024-03-01 08:14:00,Library,202.0,259.75
2024-03-01 08:48:00,Cafeteria,141.0,165.84
2024-03-01 08:27:00,Sports Complex,59.0,46.23
2024-03-01 08:15:00,Hostel Area,187.0,282.29
2024-03-01 08:52:00,Admin Zone,107.0,199.72
2024-03-01 09:32:00,Academic Zone,359.0,531.01
2024-03-01 09:42:00,Library,317.0,421.29
2024-03-01 09:20:00,Cafeteria,133.0,153.55
2024-03-01 09:08:00,Sports Complex,107.0,192.59
2024-03-01 09:29:00,Hostel Area,319.0,451.25
2024-03-01 09:31:00,Admin Zone,139.0,286.51
2024-03-01 10:34:00,Academic Zone,440.0,678.11
2024-03-01 10:36:00,Library,326.0,545.92
2024-03-01 10:22:00,Cafeteria,150.0,259.22
2024-03-01 10:24:00,Sports Complex,124.0,226.48
2024-03-01 10:07:00,Hostel Area,281.0,507.59
2024-03-01 10:12:00,Admin Zone,115.0,151.92
2024-03-01 11:13:00,Academic Zone,367.0,467.79
2024-03-01 11:28:00,Library,327.0,351.64
2024-03-01 11:04:00,Cafeteria,172.0,228.77
2024-03-01 11:57:00,Sports Complex,86.0,93.63
2024-03-01 11:42:00,Hostel Area,230.0,339.27
2024-03-01 11:34:00,Admin Zone,175.0,393.12
2024-03-01 12:18:00,Academic Zone,231.0,214.62
2024-03-01 12:19:00,Library,175.0,259.25
2024-03-01 12:16:00,Cafeteria,180.0,244.0
2024-03-01 12:37:00,Sports Complex,93.0,117.21
2024-03-01 12:03:00,Hostel Area,170.0,263.51
2024-03-01 12:46:00,Admin Zone,104.0,154.87
2024-03-01 13:10:00,Academic Zone,263.0,491.22
2024-03-01 13:55:00,Library,328.0,613.53
2024-03-01 13:37:00,Cafeteria,145.0,222.69
2024-03-01 13:20:00,Sports Complex,85.0,102.64
2024-03-01 13:03:00,Hostel Area,228.0,196.83
2024-03-01 13:09:00,Admin Zone,140.0,161.17
2024-03-01 14:55:00,Academic Zone,334.0,273.63
2024-03-01 14:25:00,Library,381.0,646.74
2024-03-01 14:18:00,Cafeteria,181.0,234.13
2024-03-01 14:32:00,Sports Complex,80.0,115.19
2024-03-01 14:02:00,Hostel Area,242.0,346.31
2024-03-01 14:52:00,Admin Zone,140.0,287.94
2024-03-01 15:06:00,Academic Zone,247.0,388.02
2024-03-01 15:27:00,Library,333.0,468.46
2024-03-01 15:17:00,Cafeteria,152.0,249.03
2024-03-01 15:18:00,Sports Complex,102.0,185.12
2024-03-01 15:03:00,Hostel Area,206.0,259.88
2024-03-01 15:15:00,Admin Zone,124.0,150.03
2024-03-01 16:28:00,Academic Zone,267.0,406.69
2024-03-01 16:13:00,Library,200.0,295.06
2024-03-01 16:43:00,Cafeteria,150.0,252.81
2024-03-01 16:16:00,Sports Complex,82.0,111.59
2024-03-01 16:53:00,Hostel Area,108.0,149.13
2024-03-01 16:06:00,Admin Zone,97.0,146.44
2024-03-01 17:25:00,Academic Zone,210.0,328.95
2024-03-01 17:30:00,Library,171.0,259.0
2024-03-01 17:34:00,Cafeteria,69.0,119.38
2024-03-01 17:06:00,Sports Complex,74.0,157.89
2024-03-01 17:59:00,Hostel Area,126.0,169.98
2024-03-01 17:09:00,Admin Zone,84.0,125.14
2024-03-01 18:57:00,Academic Zone,359.0,494.52
2024-03-01 18:29:00,Library,207.0,275.59
2024-03-01 18:47:00,Cafeteria,177.0,291.37
2024-03-01 18:50:00,Sports Complex,102.0,242.2
2024-03-01 18:31:00,Hostel Area,148.0,269.87
2024-03-01 18:42:00,Admin Zone,92.0,119.02
2024-03-01 19:32:00,Academic Zone,237.0,506.83
2024-03-01 19:10:00,Library,316.0,452.63
2024-03-01 19:58:00,Cafeteria,188.0,179.97
2024-03-01 19:11:00,Sports Complex,94.0,119.51
2024-03-01 19:04:00,Hostel Area,278.0,543.17
2024-03-01 19:00:00,Admin Zone,141.0,251.57
2024-03-01 20:53:00,Academic Zone,274.0,469.93
2024-03-01 20:10:00,Library,178.0,186.14
2024-03-01 20:40:00,Cafeteria,153.0,253.84
2024-03-01 20:05:00,Sports Complex,100.0,112.29
2024-03-01 20:56:00,Hostel Area,139.0,189.67
2024-03-01 20:31:00,Admin Zone,92.0,154.89
2024-03-01 21:57:00,Academic Zone,167.0,347.91
2024-03-01 21:52:00,Library,176.0,256.24
2024-03-01 21:37:00,Cafeteria,80.0,88.29
2024-03-01 21:34:00,Sports Complex,56.0,74.28
2024-03-01 21:52:00,Hostel Area,88.0,168.21
2024-03-01 21:11:00,Admin Zone,58.0,93.14
2024-03-01 22:06:00,Academic Zone,114.0,115.64
2024-03-01 22:40:00,Library,75.0,80.78
2024-03-01 22:12:00,Cafeteria,56.0,85.05
2024-03-01 22:16:00,Sports Complex,29.0,36.36
2024-03-01 22:33:00,Hostel Area,82.0,113.71
2024-03-01 22:59:00,Admin Zone,26.0,31.63
2024-03-01 23:26:00,Academic Zone,19.0,24.77
2024-03-01 23:10:00,Library,21.0,35.88
2024-03-01 23:36:00,Cafeteria,17.0,26.58
2024-03-01 23:34:00,Sports Complex,10.0,11.46
2024-03-01 23:21:00,Hostel Area,22.0,23.51
2024-03-01 23:47:00,Admin Zone,10.0,16.02
2024-03-02 00:53:00,Academic Zone,7.0,13.93
2024-03-02 00:31:00,Library,5.0,8.7
2024-03-02 00:50:00,Cafeteria,3.0,4.62
2024-03-02 00:46:00,Sports Complex,1.0,1.55
2024-03-02 00:43:00,Hostel Area,6.0,11.78
2024-03-02 00:38:00,Admin Zone,2.0,2.86
2024-03-02 01:28:00,Academic Zone,4.0,6.77
2024-03-02 01:14:00,Library,4.0,7.54
2024-03-02 01:48:00,Cafeteria,1.0,1.62
2024-03-02 01:27:00,Sports Complex,1.0,1.32
2024-03-02 01:55:00,Hostel Area,2.0,1.49
2024-03-02 01:52:00,Admin Zone,1.0,1.62
2024-03-02 02:14:00,Academic Zone,2.0,2.37
2024-03-02 02:55:00,Library,1.0,2.01
2024-03-02 02:52:00,Cafeteria,1.0,1.77
2024-03-02 02:34:00,Sports Complex,1.0,1.46
2024-03-02 02:15:00,Hostel Area,1.0,1.65
2024-03-02 02:56:00,Admin Zone,1.0,1.78
2024-03-02 03:07:00,Academic Zone,3.0,5.42
2024-03-02 03:54:00,Library,3.0,4.27
2024-03-02 03:32:00,Cafeteria,1.0,1.36
2024-03-02 03:11:00,Sports Complex,0.0,0.0
2024-03-02 03:34:00,Hostel Area,1.0,1.64
2024-03-02 03:43:00,Admin Zone,1.0,1.39
2024-03-02 04:20:00,Academic Zone,2.0,3.27
2024-03-02 04:26:00,Library,2.0,3.15
2024-03-02 04:01:00,Cafeteria,2.0,2.8
2024-03-02 04:21:00,Sports Complex,1.0,1.61
2024-03-02 04:14:00,Hostel Area,2.0,3.49
2024-03-02 04:36:00,Admin Zone,0.0,0.0
2024-03-02 05:48:00,Academic Zone,9.0,15.23
2024-03-02 05:28:00,Library,5.0,4.49
2024-03-02 05:47:00,Cafeteria,4.0,6.58
2024-03-02 05:01:00,Sports Complex,1.0,1.25
2024-03-02 05:31:00,Hostel Area,4.0,6.54
2024-03-02 05:50:00,Admin Zone,4.0,7.34
2024-03-02 06:44:00,Academic Zone,14.0,19.17
2024-03-02 06:37:00,Library,15.0,24.76
2024-03-02 06:34:00,Cafeteria,8.0,13.4
2024-03-02 06:46:00,Sports Complex,5.0,8.37
2024-03-02 06:40:00,Hostel Area,13.0,27.48
2024-03-02 06:27:00,Admin Zone,8.0,15.15
2024-03-02 07:25:00,Academic Zone,33.0,44.23
2024-03-02 07:43:00,Library,35.0,39.55
2024-03-02 07:59:00,Cafeteria,25.0,38.48
2024-03-02 07:07:00,Sports Complex,14.0,23.03
2024-03-02 07:29:00,Hostel Area,27.0,39.51
2024-03-02 07:30:00,Admin Zone,12.0,15.02
2024-03-02 08:44:00,Academic Zone,98.0,166.64
2024-03-02 08:03:00,Library,82.0,109.58
2024-03-02 08:25:00,Cafeteria,51.0,73.8
2024-03-02 08:55:00,Sports Complex,26.0,49.07
2024-03-02 08:31:00,Hostel Area,76.0,138.45
2024-03-02 08:15:00,Admin Zone,31.0,51.72
2024-03-02 09:57:00,Academic Zone,156.0,267.22
2024-03-02 09:25:00,Library,91.0,153.28
2024-03-02 09:33:00,Cafeteria,78.0,159.41
2024-03-02 09:49:00,Sports Complex,36.0,41.94
2024-03-02 09:51:00,Hostel Area,52.0,90.41
2024-03-02 09:09:00,Admin Zone,31.0,49.48
2024-03-02 10:55:00,Academic Zone,204.0,296.01
2024-03-02 10:50:00,Library,92.0,103.23
2024-03-02 10:00:00,Cafeteria,68.0,99.47
2024-03-02 10:23:00,Sports Complex,59.0,88.71
2024-03-02 10:48:00,Hostel Area,154.0,279.09
2024-03-02 10:00:00,Admin Zone,63.0,93.15
2024-03-02 11:24:00,Academic Zone,189.0,291.96
2024-03-02 11:34:00,Library,182.0,290.54
2024-03-02 11:09:00,Cafeteria,94.0,111.9
2024-03-02 11:05:00,Sports Complex,82.0,138.6
2024-03-02 11:42:00,Hostel Area,144.0,237.88
2024-03-02 11:53:00,Admin Zone,91.0,123.73
2024-03-02 12:10:00,Academic Zone,244.0,310.92
2024-03-02 12:11:00,Library,197.0,255.55
2024-03-02 12:14:00,Cafeteria,99.0,100.4
2024-03-02 12:40:00,Sports Complex,95.0,132.97
2024-03-02 12:22:00,Hostel Area,177.0,270.62
2024-03-02 12:20:00,Admin Zone,98.0,88.1
2024-03-02 13:43:00,Academic Zone,208.0,384.36
2024-03-02 13:10:00,Library,251.0,349.05
2024-03-02 13:05:00,Cafeteria,109.0,198.37
2024-03-02 13:25:00,Sports Complex,71.0,107.13
2024-03-02 13:43:00,Hostel Area,146.0,194.01
2024-03-02 13:55:00,Admin Zone,72.0,110.85
2024-03-02 14:42:00,Academic Zone,200.0,322.12
2024-03-02 14:23:00,Library,127.0,241.27
2024-03-02 14:00:00,Cafeteria,63.0,104.51
2024-03-02 14:49:00,Sports Complex,48.0,59.53
2024-03-02 14:21:00,Hostel Area,113.0,115.54
2024-03-02 14:34:00,Admin Zone,71.0,140.89
2024-03-02 15:28:00,Academic Zone,128.0,282.27
2024-03-02 15:59:00,Library,95.0,130.44
2024-03-02 15:06:00,Cafeteria,92.0,104.96
2024-03-02 15:43:00,Sports Complex,40.0,80.63
2024-03-02 15:16:00,Hostel Area,71.0,119.08
2024-03-02 15:25:00,Admin Zone,57.0,52.62
2024-03-02 16:36:00,Academic Zone,109.0,241.37
2024-03-02 16:09:00,Library,103.0,166.36
2024-03-02 16:46:00,Cafeteria,64.0,135.22
2024-03-02 16:04:00,Sports Complex,28.0,36.3
2024-03-02 16:33:00,Hostel Area,79.0,131.67
2024-03-02 16:41:00,Admin Zone,46.0,71.51
2024-03-02 17:49:00,Academic Zone,149.0,250.64
2024-03-02 17:59:00,Library,82.0,109.53
2024-03-02 17:11:00,Cafeteria,70.0,81.87
2024-03-02 17:04:00,Sports Complex,30.0,47.09
2024-03-02 17:36:00,Hostel Area,117.0,190.83
2024-03-02 17:08:00,Admin Zone,71.0,130.26
2024-03-02 18:20:00,Academic Zone,111.0,187.51
2024-03-02 18:36:00,Library,440.9809803057029,237.37
2024-03-02 18:25:00,Cafeteria,91.0,121.47
2024-03-02 18:29:00,Sports Complex,59.0,71.15
2024-03-02 18:48:00,Hostel Area,147.0,198.55
2024-03-02 18:38:00,Admin Zone,39.0,59.82
2024-03-02 19:02:00,Academic Zone,112.0,127.74
2024-03-02 19:35:00,Library,130.0,231.45
2024-03-02 19:37:00,Cafeteria,71.0,63.63
2024-03-02 19:34:00,Sports Complex,,
2024-03-02 19:49:00,Hostel Area,119.0,248.73
2024-03-02 19:43:00,Admin Zone,36.0,80.7
2024-03-02 20:17:00,Academic Zone,72.0,96.37
2024-03-02 20:15:00,Library,98.0,125.78
2024-03-02 20:27:00,Cafeteria,43.0,42.49
2024-03-02 20:39:00,Sports Complex,80.68327411292847,26.37
2024-03-02 20:38:00,Hostel Area,77.0,154.27
2024-03-02 20:34:00,Admin Zone,31.0,42.77
2024-03-02 21:18:00,Academic Zone,49.0,51.04
2024-03-02 21:50:00,Library,34.0,37.99
2024-03-02 21:34:00,Cafeteria,30.0,39.34
2024-03-02 21:55:00,Sports Complex,,
2024-03-02 21:01:00,Hostel Area,39.0,44.87
2024-03-02 21:10:00,Admin Zone,26.0,23.23
2024-03-02 22:08:00,Academic Zone,27.0,54.45
2024-03-02 22:57:00,Library,27.0,25.93
2024-03-02 22:58:00,Cafeteria,10.0,13.98
2024-03-02 22:02:00,Sports Complex,8.0,13.7
2024-03-02 22:54:00,Hostel Area,25.0,33.63
2024-03-02 22:21:00,Admin Zone,11.0,13.09
2024-03-02 23:51:00,Academic Zone,15.0,17.89
2024-03-02 23:02:00,Library,13.0,17.06
2024-03-02 23:38:00,Cafeteria,9.0,16.33
2024-03-02 23:44:00,Sports Complex,5.0,7.55
2024-03-02 23:46:00,Hostel Area,11.0,14.85
2024-03-02 23:14:00,Admin Zone,4.0,4.36
2024-03-03 00:42:00,Academic Zone,8.0,7.08
2024-03-03 00:53:00,Library,7.0,9.75
2024-03-03 00:34:00,Cafeteria,3.0,5.11
2024-03-03 00:27:00,Sports Complex,1.0,1.43
2024-03-03 00:46:00,Hostel Area,6.0,8.49
2024-03-03 00:38:00,Admin Zone,2.0,2.79
2024-03-03 01:45:00,Academic Zone,5.0,6.35
2024-03-03 01:44:00,Library,2.0,2.72
2024-03-03 01:16:00,Cafeteria,1.0,0.82
2024-03-03 01:32:00,Sports Complex,1.0,1.81
2024-03-03 01:18:00,Hostel Area,2.0,3.54
2024-03-03 01:41:00,Admin Zone,0.0,0.0
2024-03-03 02:08:00,Academic Zone,3.0,4.5
2024-03-03 02:19:00,Library,2.0,2.16
2024-03-03 02:56:00,Cafeteria,1.0,2.17
2024-03-03 02:38:00,Sports Complex,1.0,1.73
2024-03-03 02:21:00,Hostel Area,1.0,1.36
2024-03-03 02:54:00,Admin Zone,1.0,1.51
2024-03-03 03:47:00,Academic Zone,4.0,5.34
2024-03-03 03:39:00,Library,2.0,3.47
2024-03-03 03:32:00,Cafeteria,1.0,1.6
2024-03-03 03:35:00,Sports Complex,0.0,0.0
2024-03-03 03:40:00,Hostel Area,,
2024-03-03 03:04:00,Admin Zone,0.0,0.0
2024-03-03 04:41:00,Academic Zone,3.0,4.05
2024-03-03 04:05:00,Library,3.0,5.54
2024-03-03 04:18:00,Cafeteria,1.0,1.54
2024-03-03 04:22:00,Sports Complex,0.0,0.0
2024-03-03 04:28:00,Hostel Area,2.0,3.49
2024-03-03 04:40:00,Admin Zone,1.0,1.58
2024-03-03 05:34:00,Academic Zone,7.0,5.41
2024-03-03 05:32:00,Library,7.0,5.25
2024-03-03 05:29:00,Cafeteria,5.0,8.61
2024-03-03 05:51:00,Sports Complex,2.0,3.16
2024-03-03 05:48:00,Hostel Area,,
2024-03-03 05:58:00,Admin Zone,3.0,3.85
2024-03-03 06:02:00,Academic Zone,20.0,24.92
2024-03-03 06:44:00,Library,16.0,23.88
2024-03-03 06:41:00,Cafeteria,9.0,13.26
2024-03-03 06:28:00,Sports Complex,5.0,8.34
2024-03-03 06:05:00,Hostel Area,13.0,20.58
2024-03-03 06:22:00,Admin Zone,5.0,8.51
2024-03-03 07:59:00,Academic Zone,35.0,47.01
2024-03-03 07:11:00,Library,33.0,60.89
2024-03-03 07:15:00,Cafeteria,15.0,18.05
2024-03-03 07:57:00,Sports Complex,7.0,11.56
2024-03-03 07:34:00,Hostel Area,25.0,40.68
2024-03-03 07:25:00,Admin Zone,16.0,27.78
2024-03-03 08:28:00,Academic Zone,84.0,108.13
2024-03-03 08:24:00,Library,69.0,112.08
2024-03-03 08:30:00,Cafeteria,39.0,59.56
2024-03-03 08:12:00,Sports Complex,17.0,19.01
2024-03-03 08:34:00,Hostel Area,36.0,57.12
2024-03-03 08:49:00,Admin Zone,34.0,36.46
2024-03-03 09:42:00,Academic Zone,129.0,210.81
2024-03-03 09:11:00,Library,91.0,180.22
2024-03-03 09:01:00,Cafeteria,43.0,59.63
2024-03-03 09:59:00,Sports Complex,15.0,24.06
2024-03-03 09:39:00,Hostel Area,69.0,62.6
2024-03-03 09:28:00,Admin Zone,50.0,72.65
2024-03-03 10:17:00,Academic Zone,157.0,288.6
2024-03-03 10:24:00,Library,111.0,187.94
2024-03-03 10:49:00,Cafeteria,97.0,129.13
2024-03-03 10:04:00,Sports Complex,48.0,96.17
2024-03-03 10:39:00,Hostel Area,86.0,143.32
2024-03-03 10:04:00,Admin Zone,60.0,112.87
2024-03-03 11:46:00,Academic Zone,208.0,354.79
2024-03-03 11:40:00,Library,112.0,95.96
2024-03-03 11:42:00,Cafeteria,82.0,112.14
2024-03-03 11:29:00,Sports Complex,55.0,100.52
2024-03-03 11:31:00,Hostel Area,124.0,186.89
2024-03-03 11:39:00,Admin Zone,77.0,100.91
2024-03-03 12:34:00,Academic Zone,250.0,453.84
2024-03-03 12:31:00,Library,209.0,350.69
2024-03-03 12:24:00,Cafeteria,133.0,265.22
2024-03-03 12:34:00,Sports Complex,56.0,126.01
2024-03-03 12:09:00,Hostel Area,194.0,359.57
2024-03-03 12:54:00,Admin Zone,113.0,204.63
2024-03-03 13:39:00,Academic Zone,170.0,197.22
2024-03-03 13:36:00,Library,206.0,344.69
2024-03-03 13:58:00,Cafeteria,135.0,204.39
2024-03-03 13:27:00,Sports Complex,48.0,70.41
2024-03-03 13:32:00,Hostel Area,169.0,240.66
2024-03-03 13:31:00,Admin Zone,81.0,122.23
2024-03-03 14:45:00,Academic Zone,169.0,212.23
2024-03-03 14:54:00,Library,210.0,413.19
2024-03-03 14:09:00,Cafeteria,114.0,185.19
2024-03-03 14:53:00,Sports Complex,43.0,75.95
2024-03-03 14:53:00,Hostel Area,147.0,205.31
2024-03-03 14:08:00,Admin Zone,52.0,84.66
2024-03-03 15:20:00,Academic Zone,178.0,232.82
2024-03-03 15:33:00,Library,127.0,155.93
2024-03-03 15:36:00,Cafeteria,56.0,87.44
2024-03-03 15:12:00,Sports Complex,35.0,57.02
2024-03-03 15:31:00,Hostel Area,63.0,78.3
2024-03-03 15:47:00,Admin Zone,62.0,105.88
2024-03-03 16:02:00,Academic Zone,135.0,184.46
2024-03-03 16:50:00,Library,99.0,141.82
2024-03-03 16:41:00,Cafeteria,90.0,143.54
2024-03-03 16:34:00,Sports Complex,30.0,44.27
2024-03-03 16:20:00,Hostel Area,53.0,49.23
2024-03-03 16:43:00,Admin Zone,58.0,91.76
2024-03-03 17:33:00,Academic Zone,152.0,226.79
2024-03-03 17:00:00,Library,129.0,196.12
2024-03-03 17:25:00,Cafeteria,,
2024-03-03 17:41:00,Sports Complex,44.0,42.91
2024-03-03 17:11:00,Hostel Area,86.0,148.57
2024-03-03 17:43:00,Admin Zone,78.0,96.46
2024-03-03 18:40:00,Academic Zone,150.0,205.54
2024-03-03 18:50:00,Library,200.0,308.86
2024-03-03 18:15:00,Cafeteria,79.0,109.94
2024-03-03 18:23:00,Sports Complex,48.0,82.14
2024-03-03 18:03:00,Hostel Area,168.0,258.59
2024-03-03 18:44:00,Admin Zone,81.0,88.79
2024-03-03 19:17:00,Academic Zone,215.0,236.13
2024-03-03 19:56:00,Library,142.0,227.43
2024-03-03 19:01:00,Cafeteria,54.0,94.52
2024-03-03 19:42:00,Sports Complex,41.0,50.29
2024-03-03 19:57:00,Hostel Area,94.0,94.47
2024-03-03 19:55:00,Admin Zone,46.0,55.69
2024-03-03 20:23:00,Academic Zone,101.0,99.06
2024-03-03 20:48:00,Library,52.0,64.75
2024-03-03 20:24:00,Cafeteria,51.0,61.61
2024-03-03 20:24:00,Sports Complex,32.0,54.74
2024-03-03 20:46:00,Hostel Area,55.0,105.44
2024-03-03 20:39:00,Admin Zone,34.0,69.68
2024-03-03 21:21:00,Academic Zone,58.0,67.48
2024-03-03 21:43:00,Library,61.0,72.44
2024-03-03 21:29:00,Cafeteria,38.0,58.38
2024-03-03 21:36:00,Sports Complex,15.0,19.04
2024-03-03 21:02:00,Hostel Area,39.0,66.45
2024-03-03 21:01:00,Admin Zone,21.0,40.82
2024-03-03 22:43:00,Academic Zone,25.0,36.78
2024-03-03 22:07:00,Library,31.0,35.3
2024-03-03 22:10:00,Cafeteria,19.0,28.61
2024-03-03 22:17:00,Sports Complex,9.0,12.58
2024-03-03 22:57:00,Hostel Area,15.0,22.15
2024-03-03 22:34:00,Admin Zone,10.0,19.57
2024-03-03 23:11:00,Academic Zone,17.0,25.68
2024-03-03 23:49:00,Library,16.0,23.73
2024-03-03 23:47:00,Cafeteria,9.0,16.64
2024-03-03 23:21:00,Sports Complex,3.0,4.89
2024-03-03 23:54:00,Hostel Area,9.0,16.59
2024-03-03 23:23:00,Admin Zone,5.0,9.56
2024-03-04 00:17:00,Academic Zone,8.0,18.11
2024-03-04 00:16:00,Library,5.0,8.79
2024-03-04 00:11:00,Cafeteria,3.0,4.3
2024-03-04 00:59:00,Sports Complex,1.0,1.52
2024-03-04 00:33:00,Hostel Area,4.0,5.63
2024-03-04 00:25:00,Admin Zone,2.0,2.52
2024-03-04 01:29:00,Academic Zone,3.0,3.54
2024-03-04 01:37:00,Library,2.0,3.23
2024-03-04 01:25:00,Cafeteria,2.0,3.42
2024-03-04 01:12:00,Sports Complex,0.0,0.0
2024-03-04 01:08:00,Hostel Area,1.0,1.71
2024-03-04 01:22:00,Admin Zone,1.0,1.5
2024-03-04 02:52:00,Academic Zone,4.0,6.01
2024-03-04 02:52:00,Library,2.0,3.54
2024-03-04 02:39:00,Cafeteria,1.0,1.07
2024-03-04 02:18:00,Sports Complex,0.0,0.0
2024-03-04 02:11:00,Hostel Area,2.0,2.8
2024-03-04 02:40:00,Admin Zone,1.0,1.05
2024-03-04 03:15:00,Academic Zone,4.0,6.91
2024-03-04 03:40:00,Library,3.0,5.7
2024-03-04 03:08:00,Cafeteria,1.0,1.61
2024-03-04 03:43:00,Sports Complex,,
2024-03-04 03:34:00,Hostel Area,2.0,4.14
2024-03-04 03:47:00,Admin Zone,1.0,0.9
2024-03-04 04:36:00,Academic Zone,5.0,7.43
2024-03-04 04:54:00,Library,7.0,8.85
2024-03-04 04:17:00,Cafeteria,3.0,5.96
2024-03-04 04:50:00,Sports Complex,1.0,2.03
2024-03-04 04:25:00,Hostel Area,4.0,7.09
2024-03-04 04:53:00,Admin Zone,3.0,5.2
2024-03-04 05:55:00,Academic Zone,29.0,47.15
2024-03-04 05:14:00,Library,20.0,24.63
2024-03-04 05:55:00,Cafeteria,8.0,8.08
2024-03-04 05:12:00,Sports Complex,4.0,7.82
2024-03-04 05:34:00,Hostel Area,13.0,18.46
2024-03-04 05:57:00,Admin Zone,7.0,11.93
2024-03-04 06:59:00,Academic Zone,71.0,111.16
2024-03-04 06:36:00,Library,62.0,74.94
2024-03-04 06:59:00,Cafeteria,28.0,51.83
2024-03-04 06:06:00,Sports Complex,21.0,33.84
2024-03-04 06:21:00,Hostel Area,35.0,60.77
2024-03-04 06:25:00,Admin Zone,17.0,31.53
2024-03-04 07:10:00,Academic Zone,191.0,253.49
2024-03-04 07:16:00,Library,174.0,208.94
2024-03-04 07:05:00,Cafeteria,70.0,100.51
2024-03-04 07:43:00,Sports Complex,41.0,79.03
2024-03-04 07:43:00,Hostel Area,102.0,127.56
2024-03-04 07:58:00,Admin Zone,53.0,90.05
2024-03-04 08:20:00,Academic Zone,301.0,561.86
2024-03-04 08:11:00,Library,217.0,377.55
2024-03-04 08:34:00,Cafeteria,526.3243629196317,172.39
2024-03-04 08:48:00,Sports Complex,60.0,118.2
2024-03-04 08:21:00,Hostel Area,,
2024-03-04 08:46:00,Admin Zone,104.0,125.4
2024-03-04 09:59:00,Academic Zone,446.0,488.31
2024-03-04 09:30:00,Library,262.0,468.82
2024-03-04 09:11:00,Cafeteria,139.0,242.57
2024-03-04 09:58:00,Sports Complex,132.0,240.5
2024-03-04 09:21:00,Hostel Area,261.0,325.84
2024-03-04 09:24:00,Admin Zone,108.0,145.69
2024-03-04 10:10:00,Academic Zone,154.0,232.07
2024-03-04 10:36:00,Library,305.0,464.44
2024-03-04 10:10:00,Cafeteria,189.0,293.52
2024-03-04 10:25:00,Sports Complex,,
2024-03-04 10:37:00,Hostel Area,270.0,403.29
2024-03-04 10:14:00,Admin Zone,92.0,162.7
2024-03-04 11:55:00,Academic Zone,335.0,566.38
2024-03-04 11:44:00,Library,277.0,267.57
2024-03-04 11:14:00,Cafeteria,186.0,306.7
2024-03-04 11:21:00,Sports Complex,125.0,221.96
2024-03-04 11:33:00,Hostel Area,283.0,487.02
2024-03-04 11:38:00,Admin Zone,114.0,154.99
2024-03-04 12:50:00,Academic Zone,352.0,486.99
2024-03-04 12:43:00,Library,255.0,513.26
2024-03-04 12:23:00,Cafeteria,128.0,219.97
2024-03-04 12:06:00,Sports Complex,70.0,117.31
2024-03-04 12:14:00,Hostel Area,249.0,473.51
2024-03-04 12:55:00,Admin Zone,96.0,189.32
2024-03-04 13:32:00,Academic Zone,320.0,699.69
2024-03-04 13:06:00,Library,265.0,450.19
